#,Empresa,Bairro,Categoria,Porte estimado,Rating,Reviews,Telefone,Site,Consumo estimado (MWh/ano),Conta estimada (R$ mil/mês),Dor principal,Lógica de abordagem,Endereço
1,Terneiro Carnes,Santa Helena,Açougue gourmet,Açougue De Referência,4.5,955,+55 31 99610-7095,https://terneiro-carnes.onbeef.app.br/,9-18,9-18,"Movimento alto, refrigeração no limite, energia comendo parte da margem mesmo com bom giro.",Economia mensal direta (giro alto = consumo alto = conta pesada) · Autonomia da câmara se faltar luz (proteção do estoque) · Sustentabilidade como diferencial pra fidelizar a clientela do bairro.,"Av. Olinto Meireles, 2320 - Santa Helena, Belo Horizonte - MG, 30620-330, Brasil"
2,Açougue Montes Claros,Cardoso,Açougue,Açougue Consolidado,4.7,71,+55 31 3383-7340,(só Instagram),4-9,4-9,"Operação enxuta, margem fina, dono toma decisão de compra — energia é dor visível todo mês.",Economia direta na conta (dor mensal visível no caixa) · Autonomia se a luz cair (refrigeração não pode parar) · Sustentabilidade como vantagem local (poucos açougues do bairro têm solar).,"R. Barão de Monte Alto, 11 - Cardoso, Belo Horizonte - MG, 30626-480, Brasil"
3,Casa de Carnes Diamante,Diamante,Açougue,Açougue De Bairro,4.8,29,+55 31 3384-8133,-,1.5-4,1.5-4,"Margem fina, dono na operação, conta de luz pesa direto no fluxo de caixa do mês.",Economia na conta mensal (alivia fluxo de caixa apertado) · Autonomia da câmara fria se faltar luz (sobrevivência do negócio) · Sustentabilidade como diferencial pro consumidor consciente do bairro.,"R. Souza Dantas, 117 - Diamante, Belo Horizonte - MG, 30660-040, Brasil"
4,Casa de Carne Oliveira Lima,Miramar (Barreiro),Açougue,Açougue De Bairro,4.8,37,+55 31 3383-6671,-,1.5-4,1.5-4,"Margem fina, dono na operação, conta de luz pesa direto no fluxo de caixa do mês.",Economia na conta mensal (alivia fluxo de caixa apertado) · Autonomia da câmara fria se faltar luz (sobrevivência do negócio) · Sustentabilidade como diferencial pro consumidor consciente do bairro.,"R. Eridano, 597 - Miramar (Barreiro), Belo Horizonte - MG, 30644-100, Brasil"
5,Casa de Carnes Aragon,Teixeira Dias,Açougue,Açougue Consolidado,4.3,40,+55 31 3384-3387,-,4-9,4-9,"Operação enxuta, margem fina, dono toma decisão de compra — energia é dor visível todo mês.",Economia direta na conta (dor mensal visível no caixa) · Autonomia se a luz cair (refrigeração não pode parar) · Sustentabilidade como vantagem local (poucos açougues do bairro têm solar).,"R. José dos Santos Lage, 454 - Teixeira Dias, Belo Horizonte - MG, 30644-220, Brasil"
6,Acolgue do Cláudio,Olhos d'Água,Açougue,Açougue De Bairro,4.9,22,+55 31 3288-3534,-,1.5-4,1.5-4,"Margem fina, dono na operação, conta de luz pesa direto no fluxo de caixa do mês.",Economia na conta mensal (alivia fluxo de caixa apertado) · Autonomia da câmara fria se faltar luz (sobrevivência do negócio) · Sustentabilidade como diferencial pro consumidor consciente do bairro.,"R. 21 de Abril - Olhos D'Água, Belo Horizonte - MG, 30390-465, Brasil"
7,Açougue do Cláudio,Pilar,Açougue,Açougue De Bairro,4.7,16,+55 31 3288-3027,-,1.5-4,1.5-4,"Margem fina, dono na operação, conta de luz pesa direto no fluxo de caixa do mês.",Economia na conta mensal (alivia fluxo de caixa apertado) · Autonomia da câmara fria se faltar luz (sobrevivência do negócio) · Sustentabilidade como diferencial pro consumidor consciente do bairro.,"Rua São João do Meriti, 186 - Pilar, Belo Horizonte - MG, 30390-300, Brasil"
8,Açougue - Casa de Carnes Bife de Boi,Vila Pinho Vale do Jatobá,Açougue,Açougue De Bairro,4.8,4,+55 31 98865-0558,-,1.5-4,1.5-4,"Margem fina, dono na operação, conta de luz pesa direto no fluxo de caixa do mês.",Economia na conta mensal (alivia fluxo de caixa apertado) · Autonomia da câmara fria se faltar luz (sobrevivência do negócio) · Sustentabilidade como diferencial pro consumidor consciente do bairro.,"R. Coletora, 715 - Vila Pinho Vale do Jatobá, Belo Horizonte - MG, 30690-050, Brasil"
9,Barão da Carne,Tirol,Açougue,Açougue De Referência,4,107,+55 31 3309-4203,-,9-18,9-18,"Movimento alto, refrigeração no limite, energia comendo parte da margem mesmo com bom giro.",Economia mensal direta (giro alto = consumo alto = conta pesada) · Autonomia da câmara se faltar luz (proteção do estoque) · Sustentabilidade como diferencial pra fidelizar a clientela do bairro.,"Av. Bráulio Gomes Nogueira, 846 - Tirol, Belo Horizonte - MG, 30662-090, Brasil"
10,Açougue,Santa Helena,Atacadista de carnes,Açougue Consolidado,4,63,-,-,4-9,4-9,"Operação enxuta, margem fina, dono toma decisão de compra — energia é dor visível todo mês.",Economia direta na conta (dor mensal visível no caixa) · Autonomia se a luz cair (refrigeração não pode parar) · Sustentabilidade como vantagem local (poucos açougues do bairro têm solar).,"Av. Waldyr Soeiro Emrich, 3350 - Lj 4b - Santa Helena, Belo Horizonte - MG, 30644-000, Brasil"
